Name,Set,Types,Cost,Text,Actions,Cards,Buys,Coins,Trash,Exile,Junk,Gain,Victory
Patrol,"Intrigue, 2E",Action,5,+3 CardsReveal the top 4 cards of your deck. Put the Victory cards and Curses into your hand. Put the rest back in any order.,,+ 3-7,,,,,,,
Pawn,Intrigue,Action,2,Choose two: +1 Card; +1 Action; +1 Buy; +. The choices must be different.,+1?,+1?,+1?,+?,,,,,
Replace,"Intrigue, 2E",Action - Attack,5,"Trash a card from your hand. Gain a card costing up to  more than it. If the gained card is an Action or Treasure, put it onto your deck; if it's a Victory card, each other player gains a Curse.",,,,,1,,!1,1,
Saboteur,"Intrigue, 1E",Action - Attack,5,Each other player reveals cards from the top of their deck until revealing one costing  or more. They trash that card and may gain a card costing at most  less than it. They discard the other revealed cards.,,,,,,,!1,,
Scout,"Intrigue, 1E",Action,4,+1 ActionReveal the top 4 cards of your deck. Put the revealed Victory cards into your hand. Put the other cards on top of your deck in any order.,+1,+ 0-4,,,,,,,
Secret Chamber,"Intrigue, 1E",Action - Reaction,2,"Discard any number of cards. + per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.",,-X,,+,,,,,
Secret Passage,"Intrigue, 2E",Action,4,+2 Cards+1 ActionTake a card from your hand and put it anywhere in your deck.,+1,"+2, -1",,,,,,,
Shanty Town,Intrigue,Action,3,"+2 ActionsReveal your hand. If you have no Action cards in hand, +2 Cards.",+2,+2?,,,,,,,
Steward,Intrigue,Action,3,Choose one: +2 Cards; or +; or trash 2 cards from your hand.,,+2?,,+?,2?,,,,
Swindler,Intrigue,Action - Attack,3,+Each other player trashes the top card of their deck and gains a card with the same cost that you choose.,,,,+,,,!1,,
Torturer,Intrigue,Action - Attack,5,"+3 CardsEach other player either discards 2 cards or gains a Curse to their hand, their choice. (They may pick an option they can't do.)",,+3,,,,,1?,,
Trading Post,Intrigue,Action,5,"Trash 2 cards from your hand. If you did, gain a Silver to your hand.",,!(+1),,,2,,,!1,
Tribute,"Intrigue, 1E",Action,5,"The player to your left reveals then discards the top 2 cards of their deck. For each differently named card revealed, if it is an…Action Card, +2 ActionsTreasure Card, +Victory Card, +2 Cards",+2Z,+2Y,,+,,,,,
Upgrade,Intrigue,Action,5,+1 Card+1 ActionTrash a card from your hand. Gain a card costing exactly  more than it.,+1,+1,,,1,,,1,
Wishing Well,Intrigue,Action,3,"+1 Card+1 ActionName a card, then reveal the top card of your deck. If you named it, put it into your hand.",+1,"+1, !+1",,,,,,,
Ambassador,"Seaside, 1E",Action - Attack,3,Reveal a card from your hand. Return up to 2 copies of it from your hand to the Supply. Then each other player gains a copy of it.,,,,,0-2?,,!1,,
Astrolabe,"Seaside, 2E",Treasure - Duration,3,Now and at the start of your next turn:+1 Buy,,,"+1, N +1","+, N +",,,,,
Bazaar,Seaside,Action,5,+1 Card+2 Actions+,+2,+1,,+,,,,,
Blockade,"Seaside, 2E",Action - Duration - Attack,4,"Gain a card costing up to , setting it aside.At the start of your next turn, put it into your hand. While it's set aside, when another player gains a copy of it on their turn, they gain a Curse.",,N +1,,,,,**1?,1,
Caravan,Seaside,Action - Duration,4,"+1 Card+1 ActionAt the start of your next turn, +1 Card.",+1,"+1, N +1",,,,,,,
Corsair,"Seaside, 2E",Action - Duration - Attack,5,"+At the start of your next turn, +1 Card. Until then, each other player trashes the first Silver or Gold they play each turn.",,N +1,,+,,,,,
Cutpurse,Seaside,Action - Attack,4,+Each other player discards a Copper (or reveals a hand with no Copper).,,,,+,,,,,
Embargo,"Seaside, 1E",Action,2,"+Trash this to add an Embargo token to a Supply pile. (For the rest of the game, when a player buys a card from that pile, they gain a Curse.)",,,,+,Self,,**1?,,
Explorer,"Seaside, 1E",Action,5,"You may reveal a Province from your hand. If you do, gain a Gold to your hand. If you don't, gain a Silver to your hand.",,!(+1),,,,,,!1,
Fishing Village,Seaside,Action - Duration,3,+2 Actions+At the start of your next turn: +1 Action and +.,"+2, N +1",,,"+, N +",,,,,
Ghost Ship,"Seaside, 1E",Action - Attack,5,+2 CardsEach other player with 4 or more cards in hand puts cards from their hand onto their deck until they have 3 cards in hand.,,+2,,,,,,,
Haven,Seaside,Action - Duration,2,"+1 Card+1 ActionSet aside a card from your hand face down (under this). At the start of your next turn, put it into your hand.",+1,"+1, -1, N +1",,,,,,,
Island,Seaside,Action - Victory,4,Put this and a card from your hand onto your Island mat.2,,,,,"1, Self",,,,2
Lighthouse,Seaside,Action - Duration,2,"+1 Action+At the start of your next turn, +. Until then, when another player plays an Attack card, it doesn't affect you.",+1,,,"+, N +",,,,,
Lookout,Seaside,Action,3,+1 ActionLook at the top 3 cards of your deck. Trash one of them. Discard one of them. Put the other one back on top of your deck.,+1,,,,1,,,,
Merchant Ship,Seaside,Action - Duration,5,Now and at the start of your next turn: +.,,,,"+, N +",,,,,
Monkey,"Seaside, 2E",Action - Duration,3,"Until your next turn, when the player to your right gains a card, +1 Card.At the start of your next turn, +1 Card.",,"**+1, N +1",,,,,,,
Native Village,Seaside,Action,2,+2 ActionsChoose one: Put the top card of your deck face down on your Native Village mat (you may look at those cards at any time); or put all the cards from your mat into your hand.,+2,+X?,,,,,,,
Navigator,"Seaside, 1E",Action,4,"+Look at the top 5 cards of your deck. Either discard them all, or put them back in any order.",,,,+,,,,,
Outpost,Seaside,Action - Duration,5,You only draw 3 cards for your next hand. Take an extra turn after this one (but not a 3rd turn in a row).,,,,,,,,,
Pearl Diver,"Seaside, 1E",Action,2,+1 Card+1 ActionLook at the bottom card of your deck. You may put it on top.,+1,+1,,,,,,,
Pirate,"Seaside, 2E",Action - Duration - Reaction,5,"At the start of your next turn, gain a Treasure costing up to  to your hand.When any player gains a Treasure, you may play this from your hand.",**Pself,N (+1),,,,,,N 1,
Pirate Ship,"Seaside, 1E",Action - Attack,4,"Choose one: + per Coin token on your Pirate Ship mat; or each other player reveals the top 2 cards of their deck, trashes one of those Treasures that you choose, and discards the rest, and then if anyone trashed a Treasure, you add a Coin token to your Pirate Ship mat.",,,,+?,,,,,
Sailor,"Seaside, 2E",Action - Duration,4,"+1 ActionOnce this turn, when you gain a Duration card, you may play it.At the start of your next turn, + and you may trash a card from your hand.","+1, !P1?",,,N +,N 1?,,,,
Salvager,Seaside,Action,4,+1 BuyTrash a card from your hand. + per  it costs.,,,+1,+,1,,,,
Sea Chart,"Seaside, 2E",Action,3,"+1 Card+1 ActionReveal the top card of your deck. If you have a copy of it in play, put it into your hand.",+1,"+1, !+1",,,,,,,
Sea Hag,"Seaside, 1E",Action - Attack,4,"Each other player discards the top card of their deck, then gains a Curse onto their deck.",,,,,,,1,,
Sea Witch,"Seaside, 2E",Action - Duration - Attack,5,"+2 CardsEach other player gains a Curse.At the start of your next turn, +2 Cards, then discard 2 cards.",,"+2, N +2, N -2",,,,,1,,
Smugglers,Seaside,Action,3,Gain a copy of a card costing up to  that the player to your right gained on their last turn.,,,,,,,,1,
Tactician,Seaside,Action - Duration,5,"If you have at least one card in hand: Discard your hand, and at the start of your next turn, +5 Cards, +1 Action, and +1 Buy.",!N +1,"-X, !N +5",!N +1,,,,,,
Tide Pools,"Seaside, 2E",Action - Duration,4,"+3 Cards+1 ActionAt the start of your next turn, discard 2 cards.",+1,"+3, N -2",,,,,,,
Treasure Map,Seaside,Action,4,"Trash this and a Treasure Map from your hand. If you trashed two Treasure Maps, gain 4 Golds onto your deck.",,,,,"1?, Self",,,!4,
Treasury,Seaside,Action,5,"+1 Card+1 Action+At the end of your Buy phase this turn, if you didn't gain a Victory card in it, you may put this onto your deck.",+1,+1,,+,,,,,
Warehouse,Seaside,Action,3,+3 Cards+1 ActionDiscard 3 cards.,+1,"+3, -3",,,,,,,
Wharf,Seaside,Action - Duration,5,Now and at the start of your next turn: +2 Cards and +1 Buy.,,"+2, N +2","+1, N +1",,,,,,
Alchemist,Alchemy,Action,103,"+2 Cards+1 ActionAt the start of Clean-up this turn, if you have a Potion in play, you may put this onto your deck.",+1,+2,,,,,,,
Apothecary,Alchemy,Action,102,+1 Card+1 ActionReveal the top 4 cards of your deck. Put the Coppers and Potions into your hand. Put the rest back in any order.,+1,+ 1-5,,,,,,,
Apprentice,Alchemy,Action,5,+1 ActionTrash a card from your hand.+1 Card per  it costs.+2 Cards if it has  in its cost.,+1,+X,,,1,,,,
Familiar,Alchemy,Action - Attack,103,+1 Card+1 ActionEach other player gains a Curse.,+1,+1,,,,,1,,
Golem,Alchemy,Action,104,"Reveal cards from your deck until you reveal 2 Action cards other than Golems. Discard the other cards, then play the Action cards in either order.","P1, P1",,,,,,,,
Herbalist,Alchemy,Action,2,"+1 Buy+Once this turn, when you discard a Treasure from play, you may put it onto your deck.",,,+1,+,,,,,
Philosopher's Stone,Alchemy,Treasure,103,Count your deck and discard pile. + per 5 cards total between them (round down).,,,,+,,,,,
Possession,Alchemy,Action,106,"The player to your left takes an extra turn after this one (but not a 2nd extra turn in a row), in which you can see all cards they can and make all decisions for them. Any cards or  they would gain on that turn, you gain instead; any cards of theirs that are trashed are set aside and put in their discard pile at end of turn.",,,,,,,,X,
Scrying Pool,Alchemy,Action - Attack,102,"+1 ActionEach player (including you) reveals the top card of their deck and either discards it or puts it back, your choice. Then reveal cards from your deck until revealing one that isn't an Action. Put all of those revealed cards into your hand.",+1,+X,,,,,,,
Transmute,Alchemy,Action,100,"Trash a card from your hand. If it is an…Action card, gain a DuchyTreasure card, gain a TransmuteVictory card, gain a Gold",,,,,1,,,1,!(3 )
University,Alchemy,Action,102,+2 ActionsYou may gain an Action card costing up to .,+2,,,,,,,1,
Vineyard,Alchemy,Victory,100,Worth 1  per 3 Action cards you have (rounded down).,,,,,,,,,X
Potion,Alchemy,Treasure,4,,,,,+,,,,,
Anvil,"Prosperity, 2E",Treasure,3,You may discard a Treasure to gain a card costing up to .,,-1?,,+,,,,!1,
Bank,Prosperity,Treasure,7,+ per Treasure card you have in play (counting this).,,,,+,,,,,
Bishop,Prosperity,Action,4,++1 Trash a card from your hand. +1  per  it costs (round down). Each other player may trash a card from their hand.,,,,+,1,,,,"+1 , +X"
Charlatan,"Prosperity, 2E",Action - Attack,5,"+Each other player gains a Curse.In games using this, Curse is also a Treasure worth .",,,,+,,,1,,
City,Prosperity,Action,5,"+1 Card+2 ActionsIf there are one or more empty Supply piles, +1 Card. If there are two or more, +1 Buy and +.",+2,"+1, !+1",!+1,!+,,,,,
Clerk,"Prosperity, 2E",Action - Reaction - Attack,4,"+Each other player with 5 or more cards in hand puts one onto their deck.At the start of your turn, you may play this from your hand.",Pself,,,+,,,,,
Collection,"Prosperity, 2E",Treasure,5,"+1 BuyThis turn, when you gain an Action card, +1 .",,,+1,+,,,,,+X
Contraband,"Prosperity, 1E",Treasure,5,+1 BuyThe player to your left names a card. You can't buy that card this turn.,,,+1,+,,,,,
Counting House,"Prosperity, 1E",Action,5,"Look through your discard pile, reveal any number of Coppers from it, and put them into your hand.",,+X,,,,,,,
Crystal Ball,"Prosperity, 2E",Treasure,5,"Look at the top card of your deck. You may trash it, discard it, or, if it's an Action or Treasure, play it.",!P1?,,,"+, !P1?",1?,,,,
Expand,Prosperity,Action,7,Trash a card from your hand. Gain a card costing up to  more than it.,,,,,1,,,1,
Forge,Prosperity,Action,7,Trash any number of cards from your hand. Gain a card with cost exactly equal to the total cost in  of the trashed cards.,,,,,X,,,1,
Goons,"Prosperity, 1E",Action - Attack,6,"+1 Buy+Each other player discards down to 3 cards in hand.While you have this in play, when you buy a card, +1 .",,,+1,+,,,,,+X
Grand Market,Prosperity,Action,6,+1 Card+1 Action+1 Buy+You can’t buy this if you have any Coppers in play.,+1,+1,+1,+,,,,,
Hoard,Prosperity,Treasure,6,"This turn, when you gain a Victory card, if you bought it, gain a Gold.",,,,+,,,,X,
Investment,"Prosperity, 2E",Treasure,4,Trash a card from your hand. Choose one: +; or trash this to reveal your hand for +1  per differently named Treasure there.,,,,+?,1,,,,+X ?
King's Court,Prosperity,Action,7,You may play an Action card from your hand three times.,P3?,,,,,,,,
Loan,"Prosperity, 1E",Treasure,3,Reveal cards from your deck until you reveal a Treasure. Discard it or trash it. Discard the other cards.,,,,+,1?,,,,
Magnate,"Prosperity, 2E",Action,5,Reveal your hand. +1 Card per Treasure in it.,,+X,,,,,,,
Mint,Prosperity,Action,5,"You may reveal a Treasure card from your hand. Gain a copy of it.When you gain this, trash all non-Duration Treasures you have in play.",,,,,*X,,,1?,
Monument,Prosperity,Action,4,++1,,,,+,,,,,+1
Mountebank,"Prosperity, 1E",Action - Attack,5,"+Each other player may discard a Curse. If they don't, they gain a Curse and a Copper.",,,,+,,,2?,,
Peddler,Prosperity,Action,7.9,"+1 Card+1 Action+During a player's Buy phase, this costs  less per Action card they have in play.",+1,+1,,"+, RXself",,,,,
Quarry,Prosperity,Treasure,4,"This turn, Actions cost  less.",,,,"+, !R2",,,,,
Rabble,Prosperity,Action - Attack,5,"+3 CardsEach other player reveals the top 3 cards of their deck, discards the Actions and Treasures, and puts the rest back in any order they choose.",,+3,,,,,,,
Royal Seal,"Prosperity, 1E",Treasure,5,"While you have this in play, when you gain a card, you may put that card onto your deck.",,,,+,,,,,
Talisman,"Prosperity, 1E",Treasure,4,"While you have this in play, when you buy a non-Victory card costing  or less, gain a copy of it.",,,,+,,,,!1,
Tiara,"Prosperity, 2E",Treasure,4,"+1 BuyThis turn, when you gain a card, you may put it onto your deck.You may play a Treasure from your hand twice.",,,+1,P2?,,,,,
Trade Route,"Prosperity, 1E",Action,3,+1 BuyTrash a card from your hand. + per Coin token on the Trade Route mat.Setup: Add a Coin token to each Victory Supply pile; move that token to the Trade Route mat when a card is gained from the pile.,,,+1,+,1,,,,
Vault,Prosperity,Action,5,"+2 CardsDiscard any number of cards for + each.Each other player may discard 2 cards, to draw a card.",,"+2, -X",,+,,,,,
Venture,"Prosperity, 1E",Treasure,5,Reveal cards from your deck until you reveal a Treasure. Discard the other cards. Play that Treasure.,,,,"+, P1",,,,,
War Chest,"Prosperity, 2E",Treasure,5,The player to your left names a card. Gain a card costing up to  that hasn't been named for War Chests this turn.,,,,,,,,1,
Watchtower,Prosperity,Action - Reaction,3,"Draw until you have 6 cards in hand.When you gain a card, you may reveal this from your hand, to either trash that card or put it onto your deck.",,=6,,,**1?,,,,
Worker's Village,Prosperity,Action,4,+1 Card+2 Actions+1 Buy,+2,+1,+1,,,,,,
Platinum,Prosperity,Treasure,9,,,,,+,,,,,
Colony,Prosperity,Victory,11,10,,,,,,,,,10
Advisor,Cornucopia & Guilds,Action,4,+1 ActionReveal the top 3 cards of your deck. The player to your left chooses one of them. Discard that card and put the rest into your hand.,+1,"+3, !-1",,,,,,,
Baker,Cornucopia & Guilds,Action,5,+1 Card+1 Action+1 CoffersSetup: Each player gets +1 Coffers.,+1,+1,,+,,,,,
Butcher,Cornucopia & Guilds,Action,5,"+2 CoffersYou may trash a card from your hand, to gain a card, costing up to  more than it per Coffers you spend.",,,,"+, -",1?,,,!1,
Candlestick Maker,Cornucopia & Guilds,Action,2,+1 Action+1 Buy+1 Coffers,+1,,+1,+,,,,,
Carnival,"Cornucopia & Guilds, 2E",Action,5,Reveal the top 4 cards of your deck. Put one of each differently named card into your hand and discard the rest.,,+ 1-4,,,,,,,
Doctor,"Cornucopia & Guilds, 1E",Action,3.1,"Name a card. Reveal the top 3 cards of your deck. Trash the matches. Put the rest back in any order.Overpay: Per  overpaid, look at the top card of your deck; trash it, discard it, or put it back.",,,,,!0-3*X,,,,
Fairgrounds,Cornucopia & Guilds,Victory,6,Worth 2  per 5 differently named cards you have (round down).,,,,,,,,,X
Farmhands,"Cornucopia & Guilds, 2E",Action,4,"+1 Card+2 ActionsWhen you gain this, you may set aside an Action or Treasure from your hand, and play it at the start of your next turn.","+2, N P1?",+1,,,,,,,
Farming Village,"Cornucopia & Guilds, 1E",Action,4,+2 ActionsReveal cards from your deck until you reveal a Treasure or Action card. Put that card into your hand and discard the rest.,+2,+1,,,,,,,
Farrier,"Cornucopia & Guilds, 2E",Action,2.1,+1 Card+1 Action+1 BuyOverpay: +1 Card at the end of this turn per  overpaid.,+1,"+1, *+X",+1,,,,,,
Ferryman,"Cornucopia & Guilds, 2E",Action,5,+2 Cards+1 ActionDiscard a card.Setup: Choose an unused Kingdom card pile costing  or . Gain one when you gain a Ferryman.,+1,"+2, -1",,,,,,*1,
Footpad,"Cornucopia & Guilds, 2E",Action - Attack,5,"+2 CoffersEach other player discards down to 3 cards in hand.In games using this, when you gain a card in an Action phase, +1 Card.",,N... **+X,,+,,,,,
Fortune Teller,"Cornucopia & Guilds, 1E",Action - Attack,3,+Each other player reveals cards from the top of their deck until they reveal a Victory card or a Curse. They put it on top and discard the rest.,,,,+,,,,,
Hamlet,Cornucopia & Guilds,Action,2,+1 Card+1 ActionYou may discard a card for +1 Action.You may discard a card for +1 Buy.,"+1, !+1","+1, -2?",!+1,,,,,,
Harvest,"Cornucopia & Guilds, 1E",Action,5,"Reveal the top 4 cards of your deck, then discard them. + per differently named card revealed.",,,,+,,,,,
Herald,Cornucopia & Guilds,Action,4.1,"+1 Card+1 ActionReveal the top card of your deck. If it's an Action, play it.Overpay: Per  overpaid, put any card from your discard pile onto your deck.","+1, !P1",+1,,,,,,,
Horn of Plenty,Cornucopia & Guilds,Treasure,5,"Gain a card costing up to  per differently named card you have in play (counting this). If it's a Victory card, trash this.",,,,,Self?,,,1,
Horse Traders,"Cornucopia & Guilds, 1E",Action - Reaction,4,"+1 Buy+Discard 2 cards.When another player plays an Attack card, you may first set this aside from your hand. If you do, then at the start of your next turn, +1 Card and return this to your hand.",,-2*N +1,+1,+,,,,,
Hunting Party,Cornucopia & Guilds,Action,5,+1 Card+1 ActionReveal your hand. Reveal cards from your deck until you reveal a card that isn't a copy of one in your hand. Put it into your hand and discard the rest.,+1,+2,,,,,,,
Infirmary,"Cornucopia & Guilds, 2E",Action,3.1,+1 CardYou may trash a card from your hand.Overpay: Play this once per  overpaid.,*PselfX,+1,,,1?,,,,
Jester,Cornucopia & Guilds,Action - Attack,5,"+Each other player discards the top card of their deck. If it's a Victory card they gain a Curse; otherwise they gain a copy of the discarded card or you do, your choice.",,,,+,,,!1?,!1?,
Journeyman,Cornucopia & Guilds,Action,5,Name a card. Reveal cards from your deck until you reveal 3 cards without that name. Put those cards into your hand and discard the rest.,,+3,,,,,,,
Joust,"Cornucopia & Guilds, 2E",Action,5,+1 Card+1 Action+You may set aside a Province from your hand to gain any Reward to your hand. Discard the Province in Clean-up.,+1,"+1, !+1",,+,,,,!1,
Masterpiece,"Cornucopia & Guilds, 1E",Treasure,3.1,Overpay: Gain a Silver per  overpaid.,,,,+,,,,*X,
Menagerie,Cornucopia & Guilds,Action,3,"+1 ActionReveal your hand. If the revealed cards all have different names, +3 Cards. Otherwise, +1 Card.",+1,"+1, !+2",,,,,,,
Merchant Guild,Cornucopia & Guilds,Action,5,"+1 Buy+At the end of your Buy phase this turn, +1 Coffers per card you gained in it.",,,+1,+*+,,,,,
Plaza,Cornucopia & Guilds,Action,4,+1 Card+2 ActionsYou may discard a Treasure for +1 Coffers.,+2,"+1, -1?",,!+,,,,,
Remake,Cornucopia & Guilds,Action,4,"Do this twice: Trash a card from your hand, then gain a card costing exactly  more than it.",,,,,2,,,2,
Shop,"Cornucopia & Guilds, 2E",Action,3,+1 Card+You may play an Action card from your hand that you don't have a copy of in play.,P1?,+1,,+,,,,,
Soothsayer,Cornucopia & Guilds,Action - Attack,5,"Gain a Gold. Each other player gains a Curse, and if they did, draws a card.",,,,,,,1,1,
Stonemason,Cornucopia & Guilds,Action,2.1,Trash a card from your hand. Gain 2 cards each costing less than it.Overpay: Gain 2 Action cards each costing the amount overpaid.,,,,,1,,,2*2?,
Taxman,"Cornucopia & Guilds, 1E",Action - Attack,4,You may trash a Treasure from your hand. Each other player with 5 or more cards in hand discards a copy of it (or reveals they can't). Gain a Treasure onto your deck costing up to  more than it.,,,,,1?,,,!1,
Tournament,"Cornucopia & Guilds, 1E",Action,4,"+1 ActionEach player may reveal a Province from their hand. If you do, discard it and gain any Prize (from the Prize pile) or a Duchy, onto your deck. If no-one else does, +1 Card and +.",+1,!+1,,!+,,,,!1,!(3 ?)
Young Witch,Cornucopia & Guilds,Action - Attack,4,+2 CardsDiscard 2 cards. Each other player gains a Curse unless they reveal a Bane from their hand.Setup: Add an extra Kingdom card pile costing  or  to the Supply. Its cards are Banes.,,"+2, -2",,,,,!1,,
Bag of Gold,"Cornucopia & Guilds, 1E",Action - Prize,-0.1,+1 ActionGain a Gold onto your deck.(This is not in the Supply.),+1,,,,,,,1,
Coronet,"Cornucopia & Guilds, 2E",Action - Treasure - Reward,-0.1,You may play a non-Reward Action from your hand twice.You may play a non-Reward Treasure from your hand twice.(This is not in the Supply.),P2?,,,P2?,,,,,
Courser,"Cornucopia & Guilds, 2E",Action - Reward,-0.1,Choose two different options: +2 Cards; +2 Actions; +; gain 4 Silvers.(This is not in the Supply.),+2?,+2?,,+?,,,,4?,
Demesne,"Cornucopia & Guilds, 2E",Action - Victory - Reward,-0.1,+2 Actions+2 BuysGain a Gold.Worth 1  per Gold you have.(This is not in the Supply.),+2,,+2,,,,,1,X
Diadem,"Cornucopia & Guilds, 1E",Treasure - Prize,-0.1,"+ per unused Action you have (Action, not Action card).(This is not in the Supply.)",,,,"+, +",,,,,
